"X","Class","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","print","population","habitat"
67,"Edible","x","s","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
68,"Edible","f","y","y","t","Almonds","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Chocolate","s","g"
69,"Edible","x","y","y","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
70,"Edible","x","f","g","f","Musty","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
71,"Edible","f","f","y","t","Fishy","f","w","n","p","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
72,"Edible","b","y","w","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
73,"Edible","f","f","y","t","Fishy","f","w","n","w","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
74,"Edible","x","y","n","t","Almonds","f","c","b","p","e","r","s","y","w","w","p","w","o","p","Buff","s","p"
75,"Edible","b","s","y","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
76,"Edible","f","s","y","t","Fishy","f","w","n","p","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
77,"Edible","x","s","w","t","Fishy","f","w","n","n","t","b","s","s","w","w","p","w","o","p","Purple","v","d"
78,"Edible","f","y","n","t","Fishy","f","c","b","p","e","r","s","y","w","w","p","w","o","p","Chocolate","y","p"
79,"Poisonous","x","y","n","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
80,"Edible","f","y","n","t","Almonds","f","c","b","n","e","r","s","y","w","w","p","w","o","p","Chocolate","y","g"
81,"Edible","x","s","n","f","Musty","f","w","b","k","t","e","f","s","w","w","p","w","o","e","Chocolate","s","g"
82,"Poisonous","x","y","w","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Buff","s","g"
83,"Edible","f","f","g","f","Musty","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","y","u"
84,"Edible","x","f","g","f","Musty","f","w","b","n","t","e","s","s","w","w","p","w","o","e","Chocolate","s","g"
85,"Edible","x","y","y","t","Fishy","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Buff","s","g"
86,"Edible","x","s","n","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Buff","s","g"
87,"Edible","b","s","w","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
88,"Edible","x","s","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
89,"Edible","f","y","n","t","Fishy","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Buff","y","g"
90,"Edible","s","f","n","f","Musty","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
91,"Edible","x","f","n","f","Musty","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","y","u"
92,"Edible","b","s","w","t","Fishy","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
93,"Edible","x","y","y","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
94,"Edible","x","y","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
95,"Edible","x","s","n","f","Musty","f","w","b","n","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
96,"Edible","x","s","w","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
97,"Edible","f","y","n","t","Fishy","f","c","b","p","e","r","s","y","w","w","p","w","o","p","Chocolate","s","g"
98,"Edible","x","s","y","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
99,"Edible","b","s","w","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
100,"Edible","x","y","w","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
101,"Edible","x","f","n","f","Musty","f","w","b","p","t","e","f","s","w","w","p","w","o","e","Buff","s","g"
102,"Edible","b","s","y","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
103,"Edible","f","y","y","t","Fishy","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Chocolate","s","g"
104,"Edible","x","y","y","t","Almonds","f","c","b","n","e","r","s","y","w","w","p","w","o","p","Buff","y","p"
105,"Edible","b","y","w","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
106,"Edible","x","y","y","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
107,"Edible","x","y","y","t","Almonds","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Chocolate","y","g"
108,"Edible","b","y","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
109,"Edible","b","y","w","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
110,"Edible","x","s","y","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
111,"Edible","x","s","y","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
112,"Edible","s","f","g","f","Musty","f","c","n","g","e","e","s","s","w","w","p","w","o","p","Buff","y","u"
113,"Edible","x","f","w","t","Almonds","f","w","n","w","t","b","s","s","w","w","p","w","o","p","Purple","v","d"
114,"Edible","x","s","y","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
115,"Poisonous","x","y","w","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
116,"Edible","x","y","y","t","Fishy","f","c","b","p","e","r","s","y","w","w","p","w","o","p","Chocolate","s","g"
117,"Edible","s","f","g","f","Musty","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Chocolate","y","u"
118,"Edible","x","y","y","t","Fishy","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Buff","y","g"
119,"Edible","x","s","y","t","Fishy","f","w","n","p","t","b","s","s","w","w","p","w","o","p","Purple","v","d"
120,"Edible","s","f","n","f","Musty","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","y","u"
121,"Poisonous","x","s","w","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","v","g"
122,"Edible","x","y","w","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
123,"Poisonous","f","y","n","t","None","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Buff","v","g"
124,"Edible","f","s","g","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
125,"Edible","x","s","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
126,"Edible","x","s","w","f","Musty","f","w","b","n","t","e","s","f","w","w","p","w","o","e","Buff","s","g"
127,"Edible","b","s","y","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
128,"Edible","f","f","g","f","Musty","f","w","b","h","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
129,"Edible","x","s","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
130,"Edible","b","s","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
131,"Edible","b","s","w","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
132,"Edible","b","y","w","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
133,"Edible","f","s","w","t","Fishy","f","w","n","w","t","b","s","s","w","w","p","w","o","p","Purple","v","d"
134,"Edible","x","y","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
135,"Edible","f","s","w","t","Almonds","f","w","n","p","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
136,"Poisonous","x","y","w","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
137,"Edible","f","f","w","t","Fishy","f","w","n","w","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
138,"Edible","x","y","y","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
139,"Poisonous","x","s","n","t","None","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Chocolate","v","g"
140,"Edible","b","s","y","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
141,"Edible","x","y","n","t","Almonds","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Buff","y","p"
142,"Edible","b","y","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
143,"Edible","s","f","n","f","Musty","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
144,"Edible","f","y","n","t","Almonds","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Buff","y","p"
145,"Edible","x","y","y","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
146,"Edible","x","f","g","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Buff","s","g"
147,"Edible","f","f","w","f","Musty","f","w","b","k","t","e","s","f","w","w","p","w","o","e","Chocolate","a","g"
148,"Edible","x","y","y","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
149,"Edible","b","s","y","t","Fishy","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
150,"Edible","b","y","w","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
151,"Edible","x","y","w","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
152,"Edible","x","s","n","f","Musty","f","w","b","p","t","e","f","s","w","w","p","w","o","e","Chocolate","a","g"
153,"Edible","x","y","w","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
154,"Edible","s","f","n","f","Musty","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
155,"Edible","x","s","w","t","Almonds","f","w","n","w","t","b","s","s","w","w","p","w","o","p","Purple","v","d"
156,"Edible","x","y","n","t","Fishy","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Buff","s","g"
157,"Edible","b","y","y","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
158,"Edible","x","y","w","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
159,"Edible","b","y","w","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
160,"Edible","b","s","y","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
161,"Edible","b","s","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
162,"Edible","b","y","y","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
163,"Edible","x","f","n","f","Musty","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","y","u"
164,"Edible","f","y","n","t","Fishy","f","c","b","n","e","r","s","y","w","w","p","w","o","p","Chocolate","y","g"
165,"Edible","x","y","w","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
166,"Edible","f","y","y","t","Fishy","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Chocolate","y","p"
167,"Edible","b","s","w","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
168,"Edible","b","s","w","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
169,"Edible","x","y","n","t","Fishy","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Buff","y","g"
170,"Edible","b","s","w","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
171,"Edible","x","f","g","f","Musty","f","c","n","g","e","e","s","s","w","w","p","w","o","p","Chocolate","y","u"
172,"Edible","b","s","y","t","Fishy","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
173,"Edible","x","f","y","t","Fishy","f","w","n","n","t","b","s","s","w","w","p","w","o","p","Purple","v","d"
174,"Edible","b","y","y","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
175,"Edible","f","y","y","t","Fishy","f","c","b","p","e","r","s","y","w","w","p","w","o","p","Chocolate","s","g"
176,"Edible","b","y","w","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
177,"Edible","b","y","w","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
178,"Edible","b","y","y","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
179,"Edible","x","y","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
180,"Edible","b","s","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
181,"Poisonous","x","y","w","t","None","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
182,"Edible","s","f","n","f","Musty","f","c","n","g","e","e","s","s","w","w","p","w","o","p","Chocolate","y","u"
183,"Edible","f","f","n","f","Musty","f","c","n","g","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
184,"Edible","x","s","y","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
185,"Edible","f","y","n","t","Almonds","f","c","b","p","e","r","s","y","w","w","p","w","o","p","Buff","s","p"
186,"Poisonous","x","y","w","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","s","g"
187,"Edible","b","s","w","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
188,"Edible","f","f","g","f","Musty","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
189,"Edible","b","y","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
190,"Edible","x","y","n","t","Almonds","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Chocolate","y","p"
191,"Edible","x","f","w","f","Musty","f","w","b","p","t","e","s","f","w","w","p","w","o","e","Buff","s","g"
192,"Edible","x","s","w","t","Fishy","f","w","n","w","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
193,"Edible","b","s","w","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
194,"Edible","f","s","y","t","Almonds","f","w","n","w","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
195,"Edible","x","s","y","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
196,"Edible","f","f","g","f","Musty","f","c","n","g","e","e","s","s","w","w","p","w","o","p","Chocolate","y","u"
197,"Edible","b","s","y","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
198,"Edible","x","s","w","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
199,"Edible","x","y","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
200,"Edible","f","s","w","t","Almonds","f","w","n","n","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
201,"Edible","x","y","y","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
202,"Edible","b","s","w","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
203,"Edible","x","s","w","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
204,"Edible","x","f","w","f","Musty","f","w","b","h","t","e","f","s","w","w","p","w","o","e","Buff","s","g"
205,"Edible","f","y","n","t","Fishy","f","c","b","n","e","r","s","y","w","w","p","w","o","p","Buff","y","p"
206,"Poisonous","x","s","w","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
207,"Edible","b","s","w","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
208,"Edible","b","s","w","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
209,"Edible","b","y","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
210,"Edible","b","y","w","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
211,"Edible","x","s","y","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
212,"Edible","b","s","w","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
213,"Edible","x","f","y","t","Almonds","f","w","n","n","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
214,"Edible","x","f","g","f","Musty","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","y","u"
215,"Edible","f","y","y","t","Almonds","f","c","b","n","e","r","s","y","w","w","p","w","o","p","Chocolate","s","g"
216,"Edible","b","s","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
217,"Edible","x","s","y","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
218,"Edible","x","y","y","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
219,"Edible","x","y","w","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
220,"Edible","s","f","g","f","Musty","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
221,"Edible","x","s","w","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
222,"Poisonous","x","s","w","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","s","g"
223,"Edible","x","y","y","t","Almonds","f","c","b","n","e","r","s","y","w","w","p","w","o","p","Chocolate","s","g"
224,"Edible","f","f","w","t","Almonds","f","w","n","p","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
225,"Edible","x","y","w","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
226,"Edible","b","y","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
227,"Edible","x","s","w","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
228,"Edible","x","s","y","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
229,"Poisonous","x","y","n","t","None","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
230,"Edible","b","s","y","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
231,"Edible","x","f","g","f","Musty","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Buff","y","u"
232,"Poisonous","x","y","w","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","s","u"
233,"Edible","x","y","y","t","Fishy","f","c","b","n","e","r","s","y","w","w","p","w","o","p","Chocolate","y","p"
234,"Edible","f","f","n","f","Musty","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
235,"Edible","b","s","w","t","Fishy","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
236,"Edible","x","f","w","t","Fishy","f","w","n","w","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
237,"Edible","x","y","w","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
